Time(s),CH1(V)
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5000E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5001E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5002E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5003E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5004E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5005E+00,9.990557E-02
3.5006E+00,9.990557E-02
