Time(s),CH1(V)
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4620E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4621E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4622E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4623E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
6.4624E+00,-9.121812E-02
