0,-4195
0,-3339
0,-2746
0,-3345
0,-4952
0,-3106
0,-2606
0,-4471
0,452
0,-6670
0,108
0,-7075
0,636
0,-3643
0,-3713
0,-1960
0,-3311
0,-539
0,-7130
0,1620
0,-5159
0,-189
0,-3755
0,-1912
0,-2099
0,-2129
0,-3789
0,-3564
0,-5712
0,-2440
0,-6170
0,-708
0,-5912
0,621
0,-7896
0,-1645
0,-7015
0,-1629
0,-6617
0,-1900
0,-4227
0,-3140
0,-4159
0,-2450
0,-4471
0,-2415
0,-5350
0,-2315
0,-3328
0,-4451
0,-1284
0,-5904
0,-946
0,-5506
0,-920
0,-11364
-2,3814
0,-2020
0,1272
0,-4463
0,-37
0,-4438
0,291
0,-5011
0,178
0,-5535
0,434
0,-5319
0,-1105
0,-2714
0,-1159
0,-2266
0,-693
0,-1690
0,-1019
0,738
0,-3486
0,-254
0,-5077
0,1768
0,-3508
0,1228
0,-4531
0,5183
0,-5797
0,2644
0,-7417
0,4929
0,-3934
0,1138
0,-2794
0,310
0,-1059
0,-2031
0,-2216
1,1084
0,-2005
0,-2127
0,-2348
0,1740
0,-1583
0,-250
0,-3749
0,-1082
1,4132
0,-2088
0,694
0,-366
0,-3028
0,362
0,237
0,1347
0,127
0,-4307
0,-375
0,-1885
0,2358
0,-3951
0,14
0,-3919
0,-1010
0,-2917
0,-2044
0,623
0,-1327
0,-69
0,-804
0,-3307
0,-576
0,-1144
0,-2047
0,819
0,-2379
0,2300
0,-1570
0,-1395
0,297
0,-2349
0,-1366
0,526
0,-1218
0,-628
0,487
0,448
0,-2294
0,-759
0,131
0,-1571
0,-1026
0,-816
0,-1163
0,-1259
0,-2262
0,-792
0,-1268
0,-1960
0,-865
0,-710
0,-1974
0,275
0,457
0,-1143
0,-677
0,1324
0,-286
0,-996
0,1736
0,-618
0,-730
0,305
0,-394
0,-30
0,752
0,-684
0,-1056
0,-468
0,158
0,1165
0,1010
0,-967
0,-547
0,2915
0,-2973
0,-542
0,723
0,-755
0,-716
0,1394
0,572
0,-815
0,1461
-1,1754
0,-1475
0,937
0,426
0,-401
0,516
0,571
0,946
0,814
0,-40
0,880
0,685
0,-251
0,1104
0,789
0,209
0,541
0,808
0,615
0,-1842
0,2243
0,1172
0,560
0,1240
0,1082
0,-1232
0,875
0,1947
0,-973
0,334
0,1715
0,595
0,196
0,2293
0,-10
0,1041
0,635
0,822
0,1108
0,1212
0,112
0,320
0,2674
0,10
0,-319
0,1098
0,657
0,-1279
0,2238
0,1284
0,-689
0,-250
0,1578
0,907
0,1601
0,947
0,1348
0,86
0,1161
0,-202
0,384
0,255
0,-400
0,-28
0,505
0,-596
0,-1385
0,828
0,1335
0,-1686
0,-2650
0,2469
0,-83
0,-462
0,2093
0,959
0,-842
0,-1135
0,844
0,-449
0,302
0,1519
0,-84
0,-158
0,-317
0,244
0,-196
0,-24
0,-299
0,-986
0,1422
0,416
0,-176
0,-53
0,2263
0,291
0,-1266
0,910
0,368
0,-2717
0,523
0,1018
0,-709
0,442
0,1556
0,1434
0,214
0,1019
0,-2503
0,1175
0,2692
0,575
0,-261
0,463
0,-677
0,1526
0,961
0,1756
0,-628
0,2437
0,3653
0,-1162
0,-1433
0,3549
0,1881
0,-2
0,640
0,1764
0,1523
0,-775
0,378
0,2189
0,-437
0,-293
0,2063
0,44
0,1204
0,845
0,567
0,2983
0,-473
0,-157
0,-936
0,1617
0,192
0,-406
0,-147
0,2189
0,-1975
0,714
-1,-1113
0,540
0,-538
0,-1588
0,1436
0,1167
0,-1708
0,2034
0,1191
0,1524
0,664
0,1794
0,125
0,452
0,2477
0,442
0,21
0,2126
0,1579
0,-62
0,884
0,1819
0,1409
0,-498
0,1849
0,2515
0,473
0,-256
0,1917
0,3602
0,60
0,1340
0,1650
0,1225
0,901
0,587
0,1779
0,930
0,1809
0,455
0,-188
0,2394
0,-245
0,-720
0,1197
0,1949
0,-359
0,-219
0,1778
0,468
0,-95
0,1589
0,1339
0,1
0,1011
0,994
0,-266
0,-110
0,247
0,1540
0,790
0,1111
0,520
0,-344
0,339
0,330
0,945
0,-203
0,-46
0,-109
0,790
0,2059
0,-2096
0,-654
0,959
0,1419
0,-1577
0,1401
0,3350
0,-461
0,1664
0,447
0,-694
0,150
0,177
0,2537
0,267
0,1074
0,-19
0,565
0,-1022
0,595
0,-384
0,751
0,1720
0,1808
0,265
0,-104
0,3289
0,426
0,-372
0,1283
0,2607
0,416
0,862
0,2786
0,2703
0,123
0,2098
0,2156
0,1316
0,2937
0,2254
0,2358
0,1273
0,2112
0,1570
0,2269
0,3246
0,-280
0,1758
0,2490
0,2008
0,-42
0,3104
0,2168
0,838
0,1450
0,2838
0,-42
0,870
0,825
0,2254
0,654
0,1372
0,841
0,694
0,1199
0,1101
0,1784
0,126
0,718
0,770
0,814
0,854
0,3129
0,2576
0,-224
0,1956
0,2207
0,6535
-1,616
-1,2445
0,2920
0,501
0,679
0,2194
0,2226
0,-232
0,2768
0,1826
0,2363
0,1667
0,2428
0,1334
0,1864
0,626
0,766
0,1372
0,1477
0,1899
0,1073
0,299
0,2543
0,2449
0,570
0,-752
0,1762
0,2070
0,-447
0,2118
0,2947
0,1201
0,366
0,2185
0,1806
0,1774
0,1086
0,1770
0,2122
0,1736
0,1719
0,1050
0,1470
0,1902
0,1468
0,703
0,2050
0,4272
0,1365
0,-407
0,2097
0,2341
0,743
0,-729
0,2682
